Company,Title,Date,URL,Description,Employees
Salesforce,"Salesforce is cutting 10% of its personnel, more than 7,000 employees",1/4/2023 5:53:02 PM,https://www.cnbc.com/2023/01/04/salesforce-is-cutting-10percent-of-its-workforce-more-than-7000-employees.html,"Salesforce is cutting 10 of its personnel and reducing some office space as part of a restructuring plan, the company announced Wednesday. The company employed more than 79,000 workers as of December.In a letter to employees, co-CEO Marc Benioff said customers have been more ""measured"" in their pur",79000
Broadcom,"Broadcom lays off 1,100 employees after Brocade merger",6/15/2018 12:52:16 AM,https://www.cnbc.com/2018/06/14/broadcom-lays-off-1100-employees-after-brocade-merger.html,"Broadcom said it had laid off about 1,100 employees across its businesses to cut costs after its merger with Brocade.The chipmaker completed its $5.5 billion acquisition of network gear maker Brocade in November.Broadcom is further evaluating its resources and may terminate additional positions, it",1100
Twitter,#TweepTherapy: Former Twitter employees meet on the platform nearly every 2 weeks to process,12/20/2022 11:54:12 PM,https://www.cnbc.com/2022/12/20/tweep-therapy-fired-twitter-workers-meet-on-twitter-to-process.html,"After the mass layoff of Twitter employees on Nov. 3, a group of former workers turned to the platform's virtual feature for live conversations to process.About ""3,700 people never got to say goodbye to each other. It just sort of happened,"" says Alphonzo Terrell, former global head of social and ed",3700
Twitter,Twitter is down to fewer than 550 full-time engineers,1/20/2023 11:44:36 PM,https://www.cnbc.com/2023/01/20/twitter-is-down-to-fewer-than-550-full-time-engineers.html,"Twitter's full-time headcount has dwindled to approximately 1,300 active, working employees, including fewer than 550 full-time engineers by title, according to internal records viewed by CNBC. Around 75 of the company's 1,300 employees are on leave including about 40 engineers.The company's trust a",1300
Twitter,"Twitter cut more than 950 California employees after Elon Musk took over, WARN notice shows",11/5/2022 4:08:19 AM,https://www.cnbc.com/2022/11/04/twitter-cut-more-than-950-california-employees-after-elon-musk-took-over-warn-notice-shows.html,"After Tesla and SpaceX CEO Elon Musk took ownership of Twitter last week, the social networking giant embarked on a steep reduction in its workforce. The cuts affected a total of 983 employees in California, its home state, according to three letters of notice that the company sent to regional autho",983
Twitter,"Twitter, Snapchat announce layoffs",10/13/2015 2:59:56 PM,https://www.cnbc.com/2015/10/13/twitter-to-cut-up-to-336-jobs-or-about-8-of-global-workforce-dj.html,"Twitter and Snapchat said Tuesday they were reducing their workforce.Twitter said it will reduce its workforce by 336 jobs, or about 8 percent of its global workforce. Snapchat is laying off its Snap Channel team, which consists of 15 employees, according to Variety. Shares of Twitter company we",15
LinkedIn,"Recession fears won't stop 'the big quit' in 2023, says LinkedIn",1/18/2023 4:00:01 AM,https://www.cnbc.com/2023/01/17/recession-fears-wont-stop-the-big-quit-in-2023-says-linkedin-.html,"Despite news of layoffs and hiring freezes, employees in Asia will be more confident in their abilities — and more ready for a job switch than last year, according to LinkedIn. This is based on the latest findings from LinkedIn's consumer research conducted among more than 4,000 employees across Sin",4000
Uber,"Uber Freight cuts 150 jobs, about 3% of the unit's head count",1/24/2023 4:04:01 PM,https://www.cnbc.com/2023/01/24/uber-freight-cuts-150-jobs-about-3percent-of-the-units-headcount.html,"Uber Freight has laid off 150 employees, or about 3 of the segment's total head count.The layoffs affect the division's digital brokerage team, Uber Freight CEO Lior Ron said Monday in a message viewed by CNBC. They are the first layoffs since 2020, in the early weeks of Covid lockdowns.Uber launch",150
Uber,"Uber lays off 'about 350' employees in self-driving, Eats and other divisions",10/14/2019 7:21:48 PM,https://www.cnbc.com/2019/10/14/uber-lays-off-about-350-employees-in-self-driving-eats-and-other-divisions.html,"Uber has laid off about 350 employees across several teams within the organization, including Uber Eats, the company confirmed Monday. Shares of Uber climbed 3.2 following the news.Uber CEO Dara Khosrowshahi announced the layoffs in a company-wide email.""Days like today are tough for us all, and th",350
Uber,Uber cuts 435 more employees,9/10/2019 8:58:03 PM,https://www.cnbc.com/2019/09/10/uber-cuts-435-more-employees.html,"Uber has laid off 435 additional employees across its product and engineering teams, the company confirmed Tuesday.The ride-hailing company cut 170 people from the product team and 265 people from the engineering team, TechCrunch first reported. The layoffs come after the struggling company already",170
