Company,Title,Date,URL,Description
Google,"Google has avoided mass layoffs so far, but employees worry their time may be coming",11/23/2022 4:00:01 PM,https://www.cnbc.com/2022/11/23/google-has-avoided-mass-layoffs-but-employees-worry-theyre-coming.html,"As industry-wide layoffs hit bigger tech names, some Google workers worry they’re next.While Google has so far avoided the widespread job cuts that have hit tech companies, particularly those supported by a slumping ad market, internal anxiety is on the rise, according to documents viewed by CNBC an",
Google,"Google, Microsoft, Amazon and other tech companies have laid off more than 70,000 employees in the last year",1/18/2023 6:45:19 PM,https://www.cnbc.com/2023/01/18/tech-layoffs-microsoft-amazon-meta-others-have-cut-more-than-60000.html,"The job cuts in tech land are piling up, as companies that led the 10-year bull market adapt to a new reality.Google announced plans to lay off 12,000 people from its workforce Friday, while Microsoft said Wednesday that it's letting go of 10,000 employees. Amazon also began a fresh round of job cut","12,000 people"
Google,Google is delaying a portion of employee bonus checks,1/20/2023 12:29:08 AM,https://www.cnbc.com/2023/01/19/google-is-delaying-a-portion-of-employee-bonus-checks.html,"Google executives are deferring a portion of employees' year-end bonus checks, according to documents viewed by CNBC, as the company moves toward permanently pushing back payouts.In past years, employees received their full bonuses in January. However, Google will pay qualifying full-time employees",
Google,"Google bonus delay has a windfall lesson for workers: ‘Don't have it spent before it gets there,’ says advisor",1/20/2023 9:23:19 PM,https://www.cnbc.com/2023/01/20/google-bonus-delay-offers-lesson-in-windfall-spending.html,"Google is delaying full year-end bonus checks by a few months, simultaneously demonstrating a keystone tenet of household finance: Don't count on money you don't have in hand.""If you know money's coming down the road, you can think [about] what you might want to do with it, but don't have it spent b",
Google,"Despite a wave of layoff announcements, it's still a good time to get a job, career experts say",1/20/2023 6:14:21 PM,https://www.cnbc.com/2023/01/20/despite-google-amazon-microsoft-layoffs-its-a-good-time-to-get-a-job.html,"Whether by choice or necessity, many workers will change jobs in the months ahead.Some companies, particularly tech giants, have been announcing deep cuts to their workforces as they face ongoing challenges due to rising interest rates and inflation.Most recently, Google said that it will lay off 12",
Google,Amazon's drone delivery unit hit with layoffs just as 10-year-old project finally launches,1/20/2023 7:32:13 PM,https://www.cnbc.com/2023/01/20/amazon-drone-unit-hit-with-layoffs-as-long-awaited-program-launches.html,"In 2013, Amazon founder Jeff Bezos appeared on CBS' ""60 Minutes"" to reveal a futuristic plan his company had been secretly pursuing to deliver packages by drone in 30 minutes. A pre-recorded demo showed an Amazon-branded ""octocopter"" carrying a small package off a conveyor belt and into the skies to",
Google,"Google parent to lay off 12,000 workers in latest blow to tech sector",1/20/2023 12:41:26 PM,https://www.cnbc.com/2023/01/20/google-parent-to-lay-off-12000-workers-memo.html,"Google's parent Alphabet is eliminating about 12,000 jobs, or 6 of its workforce, the company said Friday, in the latest cuts to shake the technology sector.Sundar Pichai, Alphabet's CEO, said in a staff memo shared with Reuters that the company had rapidly expanded headcount in recent years ""for a",
Google,Google tells employees more of them will be at risk for low performance ratings next year,12/22/2022 9:34:39 PM,https://www.cnbc.com/2022/12/22/google-tells-employees-higher-risk-of-low-performance-ratings-in-2023.html,"More Google employees will be at risk for low performance ratings and fewer are expected to reach high marks under a new performance review system that starts next year, according to internal communications obtained by CNBC.In a recent Google all-hands meeting and in a separate presentation last wee",
Google,"Amid mass layoffs, the Big Tech dream job is losing its luster",11/17/2022 8:30:13 PM,https://www.cnbc.com/2022/11/17/amid-mass-layoffs-the-big-tech-dream-job-is-losing-its-luster.html,"For decades, Silicon Valley tech darlings like Google, Apple, Facebook and Twitter set the gold standard of making it in the tech space. Employees wanted to work for innovative leaders, enjoy vast campuses that catered to their every need and use their talents to build some of the most influential t",
Google,"Here’s our Annual Meeting update on 10 tech stocks, plus Disney, in the Club portfolio",2/28/2023 6:49:46 PM,https://www.cnbc.com/2023/02/28/heres-our-annual-meeting-update-on-10-tech-stocks-plus-disney-in-the-club-portfolio.html,"Here's an update on technology-related holdings in Jim Cramer's Charitable Trust, the portfolio we use at the CNBC Investing Club. Jim ran through the 35 stocks during the Club's inaugural Annual Meeting, an in-person event Saturday in New York City. Here's a video replay of the meeting.The followin",
Google,"What Apple, Google and other Big Tech companies are paying, based on new salary transparency data",1/6/2023 10:38:27 PM,https://www.cnbc.com/2023/01/06/what-big-tech-companies-are-paying-based-on-new-public-salary-data.html,"It just got a lot easier to see how much some of the biggest tech companies in the world pay, thanks to a rollout of new salary transparency laws across the country.As of Jan. 1, California and Washington joined New York City and Colorado in legally requiring employers to post salary ranges on their",
Google,"The highest-paying college majors, top jobs in 2023 and who’s hiring right now",2/23/2023 5:11:05 PM,https://www.cnbc.com/2023/02/23/highest-paying-majors-top-jobs-for-2023-and-whos-hiring-right-now.html,This was adapted from CNBC's Work It newsletter on LinkedIn about all things work — from how to land the job to how to succeed in your career. (Click here to subscribe.)Who's hiring right now?That may seem like an odd question with all the headlines about layoffs and projections for a slowdown. But,
Google,"Google CEO tells employees productivity and focus must improve, launches 'Simplicity Sprint' to gather employee feedback on efficiency",7/31/2022 5:10:46 PM,https://www.cnbc.com/2022/07/31/google-ceo-to-employees-productivity-and-focus-must-improve.html,"Google is launching a new effort called ""Simplicity Sprint"" in an effort to improve efficiency and improve employee focus during an uncertain economic environment.The Alphabet company had its regular all-hands meeting last Wednesday, and the tone was somewhat urgent as employees expressed concern ov",
Google,Crypto winter is hurting Google's ad empire,10/26/2022 12:37:30 AM,https://www.cnbc.com/2022/10/25/crypto-winter-is-hurting-googles-ad-empire.html,"Not even Google is immune from the Crypto winter.In Alphabet's third-quarter earnings call on Tuesday, Philipp Schindler, Google's chief business officer, blamed a slowdown in revenue growth in part on reduced ad spending by cypto companies and other financial firms.""In the third quarter, we did see",
Google,"Despite big layoffs, it’s still a great time to work in tech, experts say: ‘I’ve seen bad job markets…this is not it’",2/3/2023 7:37:21 PM,https://www.cnbc.com/2023/02/03/despite-big-tech-layoffs-its-still-a-good-time-to-work-in-tech.html,"Raveena Mathur had heard the rumors about layoffs coming to Silicon Valley for months — but the warnings didn't scare her. She had been working at a Big Tech firm as a senior business analyst for eight months, and was convinced she had one of the most secure jobs in the world. Then, one week before",
Google,From 'relief' to 'not too devastated': Why some laid-off workers aren't rushing to find new jobs,2/16/2023 10:14:58 PM,https://www.cnbc.com/2023/02/16/why-some-young-laid-off-workers-arent-rushing-to-find-new-jobs.html,"""Relief."" ""At peace."" ""Not too devastated."" That's how some recently laid-off workers view losing their jobs, despite the era of loud layoffs and ever-constant recession fears.The calm outlook runs counter to the shock of bad news coming from tech and related industries in recent months. Mass layoff",
Google,Google CEO Pichai tells employees not to 'equate fun with money' in heated all-hands meeting,9/23/2022 3:14:12 PM,https://www.cnbc.com/2022/09/23/google-ceo-pichai-fields-questions-on-cost-cuts-at-all-hands-meeting-.html,"As Google tries to navigate an unfamiliar environment of slowing growth, cost-cutting and employee dissent over cultural changes, CEO Sundar Pichai is finding himself on the defensive.At a companywide all-hands meeting this week, Pichai was faced with tough questions from employees related to cuts t",
Google,"Your earnings investing playbook for the big Apple, Amazon and Alphabet results after the bell",2/2/2023 7:52:31 PM,https://www.cnbc.com/2023/02/02/big-tech-earnings-preview-apple-amazon-and-alphabet.html,"Thursday is a massive day for tech investors, as Amazon, Apple and Google-parent Alphabet are all set to report fourth-quarter earnings after the market close.The Big Tech stocks have all rallied to start 2023, despite widespread layoffs in the sector and fears of an economic slowdown this year that",
Google,Layoffs at Alphabet are the latest sign Big Tech is finally taking steps to manage ballooning expenses,1/20/2023 10:47:20 PM,https://www.cnbc.com/2023/01/20/layoffs-at-alphabet-sign-big-tech-managing-ballooning-expenses.html,"Google parent Alphabet (GOOGL) on Friday became the latest technology giant to lay off thousands of workers — a move we expected from the Club holding given falling advertising revenue and growing fears of a recession.""I take full responsibility for the decisions that led us here. Over the past two",
Google,"Google CEO says he hopes to make company 20% more efficient, hints at potential cuts",9/7/2022 7:01:11 AM,https://www.cnbc.com/2022/09/07/google-ceo-says-he-hopes-to-make-company-20percent-more-efficient-hints-at-potential-cuts.html,"Google and Alphabet CEO Sundar Pichai said he wants to make the company 20 more efficient and that could include headcount cuts as it reckons with a slew of economic challenges as well as years of rapid hiring.Speaking at Code Conference in Los Angeles, Pichai gave more details about how he’s think",
Google,Roomba maker iRobot to lay off about 7% of its workforce,2/13/2023 11:58:24 PM,https://www.cnbc.com/2023/02/13/irobot-layoffs-7percent-of-workforce-at-roomba-maker-let-go.html,"Roomba maker iRobot on Monday announced plans to cut around 7 of its workforce.The cuts will affect roughly 85 employees, iRobot said in its fourth-quarter earnings report. The company had 1,254 employees as of Dec. 31, 2022.For the fourth quarter, the company posted $84.1 million in losses on $357",85 employees
Google,Why tech workers are quitting great jobs at companies like Google to fight climate change,7/26/2022 2:00:01 PM,https://www.cnbc.com/2022/07/26/tech-to-climate-career-changes-why-these-workers-left-jobs-like-google.html,"Tech workers are walking away from high-paying jobs with great perks to help fight what they believe is the greatest existential problem of our lifetimes: climate change.In some cases, that has meant taking a pay cut. But Sandy Anuras, who recently joined home solar provider Sunrun as its chief tech",
Google,"As layoffs pick up, here's what workers need to know about filing for unemployment benefits",1/23/2023 7:21:09 PM,https://www.cnbc.com/2023/01/23/what-to-know-about-filing-for-unemployment-benefits-after-a-layoff.html,"A wave of companies, including Amazon, Google and Spotify, have announced deep cuts to their head count, leaving former employees without a paycheck.Fortunately, the unemployment insurance program, created in 1935, offers support to certain people who have lost their job. The federal program is admi",
Google,More companies say they're giving bigger raises this year—here's how much to expect,2/8/2023 5:42:00 PM,https://www.cnbc.com/2023/02/08/more-companies-say-theyre-giving-bigger-raises-this-year.html,"It's hard to square mass layoffs at giants like Amazon, Google, Meta and others flooding the headlines with labor market data that indicates jobs are still plentiful and workers continue to have bargaining power.While tens of thousands of workers across tech, finance and media have abruptly lost the",
Google,Alphabet to cut staff of health sciences unit Verily by 15%,1/11/2023 11:18:08 PM,https://www.cnbc.com/2023/01/11/alphabet-to-cut-staff-of-health-sciences-unit-verily-by-15percent.html,"In an email to employees on Wednesday, Verily CEO Stephen Gillett said the company will lay off 15 of its staff in a restructuring move, as it strives for financial independence from parent company Alphabet. The cuts will affect about 240 people, a Verily spokesperson confirmed.Verily, which specia",240 people
Google,U.S. Treasury bond yields rise — and stock markets fall — on January’s jobs report,2/7/2023 1:18:29 AM,https://www.cnbc.com/2023/02/07/stock-markets-yields-rise-and-markets-fall-on-januarys-jobs-report.html,"This report is from today's CNBC Daily Open, our new, international markets newsletter. CNBC Daily Open brings investors up to speed on everything they need to know, no matter where they are. Like what you see? You can subscribe here.What you need to know todayU.S. stocks started the week off on a l",
Google,"Google-parent Alphabet slashes headcount by 12,000",1/20/2023 4:06:30 PM,https://www.cnbc.com/video/2023/01/20/alphabet-slashes-headcount-by-12000.html,CNBC's Steve Kovach reports on the latest in a string of tech layoffs.,
Google,"The current job market is a 'juggernaut,' economist says. Here are 6 things to know as a job seeker",2/3/2023 8:52:23 PM,https://www.cnbc.com/2023/02/03/6-things-to-know-in-a-juggernaut-of-a-job-market.html,"American workers are in the throes of a historic job market, characterized by low unemployment and layoffs, relatively fast-rising wages and a high degree of job-seeker confidence.Job trends in recent months reveal ""a juggernaut"" of a labor market, said Nick Bunker, head of economic research at the",
